t_s,torque_cmd_nm,torque_em_nm,copper_loss_w,core_loss_w,magnet_loss_w,total_loss_w,temp_c,phase_res_ohm
8.700000000000001135e-03,1.843643906153732104e+01,1.839952799782887638e+01,1.227963322045521899e+01,1.406567073943051128e+03,2.353875169040308265e+03,3.772721876203814645e+03,2.501262705790195184e+01,2.349275380704260799e-02
8.800000000000000530e-03,1.844143525390556704e+01,1.840455686855807826e+01,1.228635342967579724e+01,1.406702236048530949e+03,2.354211498867776299e+03,3.773200088345983204e+03,2.501277217990303825e+01,2.349276694514707345e-02
8.899999999999999925e-03,1.844643074918729297e+01,1.840958173423358346e+01,1.229307013310359231e+01,1.406837384021587695e+03,2.354547821796425069e+03,3.773678275951116120e+03,2.501291732028355241e+01,2.349278008491575628e-02
9.000000000000001055e-03,1.845142553949392550e+01,1.841460299086482166e+01,1.229978385537249608e+01,1.406972519834233935e+03,2.354884141111650024e+03,3.774156444801256384e+03,2.501306247904276958e+01,2.349279322634856282e-02
9.100000000000000450e-03,1.845641961693801747e+01,1.841962098599361042e+01,1.230649505693338064e+01,1.407107645215837465e+03,2.355220459693322937e+03,3.774634599966093447e+03,2.501320765618016395e+01,2.349280636944542713e-02
9.199999999999999845e-03,1.846141297363323375e+01,1.842463602451036309e+01,1.231320414173878497e+01,1.407242761682215132e+03,2.355556780064396207e+03,3.775112745888350219e+03,2.501335285169537670e+01,2.349281951420630760e-02
9.300000000000000974e-03,1.846640560169438317e+01,1.842964837377244436e+01,1.231991146400740966e+01,1.407377870561243526e+03,2.355893104433689132e+03,3.775590886458940076e+03,2.501349806558820177e+01,2.349283266063116951e-02
9.400000000000000369e-03,1.847139749323742208e+01,1.843465826810824026e+01,1.232661733417867111e+01,1.407512973015396938e+03,2.356229434733545986e+03,3.776069025083121687e+03,2.501364329785856100e+01,2.349284580871999900e-02
9.499999999999999764e-03,1.847638864037947926e+01,1.843966591278078937e+01,1.233332202415416035e+01,1.407648070061580256e+03,2.356565772652971191e+03,3.776547164738705760e+03,2.501378854850649702e+01,2.349285895847277525e-02
9.600000000000000894e-03,1.848137903523884518e+01,1.844467148747575180e+01,1.234002577191151317e+01,1.407783162588583764e+03,2.356902119666796807e+03,3.777025308027292340e+03,2.501393381753214484e+01,2.349287210988951907e-02
9.700000000000000289e-03,1.848636866993501116e+01,1.844967514937086150e+01,1.234672878556574815e+01,1.407918251372450413e+03,2.357238477061362119e+03,3.777503457219378106e+03,2.501407910493572828e+01,2.349288526297023047e-02
